"year","traditional","specialty","total","wholesalers","tot.av5","perChgTot","prohibition"
1887,2269,0,2269,3309,NA,0,0
1888,1968,0,1968,3370,NA,-0.132657558395769,0
1889,2144,0,2144,3603,2135,0.089430894308943,0
1890,2156,0,2156,3697,2074.6,0.00559701492537323,0
1891,2138,0,2138,5039,2067,-0.00834879406307976,0
1892,1967,0,1967,4969,1999.2,-0.0799812909260992,0
1893,1930,0,1930,5398,1922.2,-0.0188103711235383,0
1894,1805,0,1805,5518,1867.8,-0.0647668393782384,0
1895,1771,0,1771,5655,1840.4,-0.0188365650969529,0
1896,1866,0,1866,5749,1823.4,0.0536420101637494,0
1897,1830,0,1830,5974,1854.2,-0.0192926045016077,0
1898,1845,0,1845,6577,1863.2,0.00819672131147531,0
1899,1959,0,1959,7245,1844.2,0.0617886178861788,0
1900,1816,0,1816,7730,1839.6,-0.0729964267483409,0
1901,1771,0,1771,8021,1817.2,-0.0247797356828194,0
1902,1807,0,1807,8579,1773.6,0.0203274985883681,0
1903,1733,0,1733,9433,1779.8,-0.0409518539014941,0
1904,1741,0,1741,9556,1775,0.00461627236006934,0
1905,1847,0,1847,10113,1757.6,0.060884549109707,0
1906,1747,0,1747,10871,1739.8,-0.0541418516513265,0
1907,1720,0,1720,11534,1716,-0.0154550658271322,0
1908,1644,0,1644,11628,1660.2,-0.0441860465116279,0
1909,1622,0,1622,11757,1615.6,-0.01338199513382,0
1910,1568,0,1568,11645,1572.8,-0.033292231812577,0
1911,1524,0,1524,12177,1536.4,-0.0280612244897959,0
1912,1506,0,1506,12123,1490.4,-0.0118110236220472,0
1913,1462,0,1462,12338,1445.8,-0.0292164674634794,0
1914,1392,0,1392,12143,1403.6,-0.0478796169630643,0
1915,1345,0,1345,12247,1351.8,-0.0337643678160919,0
1916,1313,0,1313,10704,1277.8,-0.0237918215613383,0
1917,1247,0,1247,10098,1133.2,-0.0502665651180503,0
1918,1092,0,1092,0,864.2,-0.1242983159583,0
1919,669,0,669,0,601.6,-0.387362637362637,0
1920,0,0,0,0,352.2,-1,1
1921,0,0,0,0,133.8,0,1
1922,0,0,0,0,0,0,1
1923,0,0,0,0,0,0,1
1924,0,0,0,0,0,0,1
1925,0,0,0,0,0,0,1
1926,0,0,0,0,0,0,1
1927,0,0,0,0,0,0,1
1928,0,0,0,0,0,0,1
1929,0,0,0,0,0,0,1
1930,0,0,0,0,0,0,1
1931,0,0,0,0,66.2,0,1
1932,0,0,0,0,217.4,0,1
1933,331,0,331,14135,370.6,Inf,1
1934,756,0,756,17630,518.4,1.28398791540786,0
1935,766,0,766,15300,669.8,0.0132275132275133,0
1936,739,0,739,14640,743.6,-0.0352480417754569,0
1937,757,0,757,13183,726.8,0.0243572395128553,0
1938,700,0,700,12727,710.4,-0.0752972258916776,0
1939,672,0,672,11472,734,-0.04,0
1940,684,0,684,13068,687.2,0.0178571428571428,0
1941,857,0,857,10820,645.4,0.252923976608187,0
1942,523,0,523,10105,607,-0.38973162193699,0
1943,491,0,491,8885,565.4,-0.0611854684512428,0
