Dead,Old,White,Guy
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Lady
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Yup,Dude
Still Kicking,Geezer,Nope,Lady
Daises,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Still Kicking,Geezer,Yup,Lady
Still Kicking,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Lady
Daises,Geezer,Yup,Dude
Daises,Geezer,Yup,Lady
Daises,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Lady
Daises,Whipper Snapper,Nope,Dude
Daises,Whipper Snapper,Yup,Lady
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Lady
Daises,Whipper Snapper,Yup,Lady
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Lady
Still Kicking,Whipper Snapper,Nope,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Nope,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Lady
Still Kicking,Whipper Snapper,Nope,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Lady
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Nope,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Nope,Dude
Daises,Geezer,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Geezer,Yup,Dude
Daises,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Lady
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Yup,Lady
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Lady
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Geezer,Nope,Lady
Still Kicking,Whipper Snapper,Nope,Dude
Still Kicking,Whipper Snapper,Yup,Lady
Daises,Geezer,Yup,Lady
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Dude
Daises,Whipper Snapper,Yup,Lady
Daises,Whipper Snapper,Yup,Dude
Still Kicking,Whipper Snapper,Yup,Dude
Still Kicking,Geezer,Yup,Dude
Still Kicking,Whipper Snapper,Nope,Lady
Daises,Geezer,Yup,Lady
